concept_name,cancer_type
Primary malignant neoplasm of axillary tail of left female breast,breast
Primary malignant neoplasm of broad ligament,unknown
Primary malignant neoplasm of maxillary sinus,head and neck
"Hodgkin's disease, nodular sclerosis (clinical)",lymphoma/lymphoid
"Hodgkin's disease, nodular sclerosis of lymph nodes of inguinal region AND/OR lower limb",lymphoma/lymphoid
Primary malignant neoplasm of eye,eye/ocular
"Reticulosarcoma of lymph nodes of head, face and neck",lymphoma/lymphoid
Mesothelioma of peritoneum,mesothelioma
Overlapping malignant neoplasm of colon,colon/rectal
Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue (MALT-lymphoma),lymphoma/lymphoid
Nodular lymphoma of extranodal AND/OR solid organ site,lymphoma/lymphoid
Primary malignant neoplasm of parietal pleura,lung/respiratory tract/pleura
Malignant neoplasm of connective and soft tissue of pelvis,soft tissue sarcoma
Primary central nervous system lymphoma,lymphoma/lymphoid
Hodgkin's paragranuloma of lymph nodes of axilla AND/OR upper limb,lymphoma/lymphoid
Angioimmunoblastic T-cell lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of fundus of stomach,stomach
Primary malignant neoplasm of male genital organ,male genital
Primary malignant neoplasm of heart,unknown
Primary malignant neoplasm of female genital organ,unknown
Primary malignant neoplasm of skin of breast,skin
Primary malignant neoplasm of ethmoidal sinus,head and neck
Leukemic reticuloendotheliosis of intrathoracic lymph nodes,leukemia
Primary malignant neoplasm of adrenal medulla,adrenal
Primary malignant neoplasm of laryngeal cartilage,head and neck
Mycosis fungoides of intra-abdominal lymph nodes,lymphoma/lymphoid
Lymphocyte-rich classical Hodgkin lymphoma,lymphoma/lymphoid
Burkitt's lymphoma of lymph nodes of axilla and upper limb,lymphoma/lymphoid
Refractory anemia with excess blasts-1,myelodysplastic syndromes
Hodgkin's granuloma of lymph nodes of inguinal region AND/OR lower limb,lymphoma/lymphoid
Nodular lymphoma of intrapelvic lymph nodes,lymphoma/lymphoid
Primary malignant neoplasm of parathyroid gland,parathyroid
Primary malignant neoplasm of dome of urinary bladder,urinary tract/bladder
Myeloid sarcoma,myeloid/lymphoid neoplasms
Overlapping malignant neoplasm of bronchus and lung,lung/respiratory tract/pleura
"Hodgkin's disease, nodular sclerosis of lymph nodes of axilla AND/OR upper limb",lymphoma/lymphoid
Malignant tumor of salivary gland,salivary gland
Hodgkin's disease of intra-abdominal lymph nodes,lymphoma/lymphoid
"Refractory anemia without sideroblasts, so stated",myelodysplastic syndromes
Primary malignant neoplasm of adrenal cortex,adrenal
Primary malignant neoplasm of anterior portion of floor of mouth,head and neck
Kaposi's sarcoma of gastrointestinal tract,soft tissue sarcoma
"Malignant mast cell tumor of lymph nodes of head, face AND/OR neck",mast cell malignancy
Reticulosarcoma of intra-abdominal lymph nodes,lymphoma/lymphoid
Malignant mast cell tumor (clinical),mast cell malignancy
Chronic myeloid leukemia in remission,leukemia
Subacute monocytic leukemia,leukemia
Primary malignant neoplasm of upper gum,head and neck
Malignant lymphoma of intrapelvic lymph nodes,lymphoma/lymphoid
Burkitt's lymphoma of intra-abdominal lymph nodes,lymphoma/lymphoid
Monocytic leukemia,leukemia
Malignant poorly differentiated neuroendocrine carcinoma,neuroendocrine
Primary malignant neoplasm of posterior mediastinum,unknown
Malignant neoplastic disease in pregnancy,unknown
Malignant melanoma of skin of lip,skin
Overlapping malignant neoplasm of soft tissues,soft tissue sarcoma
Kaposi's sarcoma of palate,soft tissue sarcoma
Malignant neoplasm of abdomen,unknown
"Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid",eye/ocular
Malignant carcinoid tumor of colon,neuroendocrine
Primary malignant neoplasm of lateral wall of oropharynx,head and neck
Primary malignant neoplasm of isthmus of uterus,uterine/endometrial
Primary malignant neoplasm of visceral pleura,lung/respiratory tract/pleura
Follicular non-Hodgkin's lymphoma diffuse follicle center sub-type grade 1,lymphoma/lymphoid
Primary malignant neoplasm of paraganglion,neuroendocrine
Burkitt's tumor of lymph nodes of axilla AND/OR upper limb,lymphoma/lymphoid
"Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes",lymphoma/lymphoid
Malignant mesothelioma of pleura,mesothelioma
Primary malignant neoplasm of postcricoid region,head and neck
Primary malignant neoplasm of nervous system,brain
Primary mediastinal (thymic) large B-cell lymphoma,lymphoma/lymphoid
Primary cutaneous CD30+ large T-cell lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of lacrimal drainage system,eye/ocular
Primary malignant neoplasm of carotid body,neuroendocrine
Hodgkin's disease of extranodal AND/OR solid organ site,lymphoma/lymphoid
Primary malignant neoplasm of urachus,urinary tract/bladder
Primary malignant neoplasm of intestinal tract,small intestine
Kaposi's sarcoma of lymph nodes,soft tissue sarcoma
Hepatosplenic T-cell lymphoma,lymphoma/lymphoid
"Nodular lymphoma of lymph nodes of head, face and neck",lymphoma/lymphoid
Malignant tumor of nasopharynx,nasopharyngeal
Primary malignant neoplasm of palate,head and neck
"Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical)",lymphoma/lymphoid
Malignant neoplasm of anterior wall of urinary bladder,urinary tract/bladder
Adult T-cell leukemia/lymphoma,leukemia
Nodular lymphoma of spleen,lymphoma/lymphoid
Myeloid leukemia in remission,leukemia
Overlapping malignant neoplasm of stomach,stomach
"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla AND/OR upper limb",lymphoma/lymphoid
Primary malignant neoplasm of submaxillary gland,salivary gland
Primary squamous cell carcinoma of skin of right upper limb,skin
Overlapping malignant neoplasm of esophagus,esophagus
Overlapping malignant neoplasm of pancreas,pancreas
Diffuse large B-cell lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of frontal sinus,head and neck
Mycosis fungoides of lymph nodes of axilla AND/OR upper limb,lymphoma/lymphoid
Overlapping malignant neoplasm of tonsil,head and neck
"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Primary malignant neoplasm of epididymis,male genital
Malignant neoplasm of connective and soft tissue of abdomen,soft tissue sarcoma
Malignant carcinoid tumor of rectum,neuroendocrine
Primary malignant neoplasm of lesser curvature of stomach,stomach
Primary malignant neoplasm of labia majora,vulvar
Primary malignant neoplasm of tonsillar fossa,head and neck
Acute monocytic/monoblastic leukemia,leukemia
Malignant neoplasm of nipple and areola of male breast,breast
Overlapping malignant neoplasm of palate,head and neck
Letterer-Siwe disease of spleen,histiocytosis
Acute panmyelosis with myelofibrosis,leukemia
Hodgkin's disease of spleen,lymphoma/lymphoid
Malignant neoplasm of skin of ear and external auditory canal,skin
Plasma cell leukemia in remission,leukemia
"Anaplastic large cell lymphoma, ALK negative",lymphoma/lymphoid
Primary malignant neoplasm of posterior wall of oropharynx,head and neck
Refractory anemia with excess blasts-2,myelodysplastic syndromes
Nodular lymphoma of lymph nodes of axilla and upper limb,lymphoma/lymphoid
Sebaceous adenocarcinoma of eyelid,skin
Primary malignant neoplasm of scrotum,male genital
Kaposi's sarcoma of lung,soft tissue sarcoma
Burkitt's lymphoma of lymph nodes of multiple sites,lymphoma/lymphoid
"Malignant neoplasm of peripheral nerves of lower limb, including hip",soft tissue sarcoma
Primary malignant neoplasm of prepuce,male genital
Lymphosarcoma of intrapelvic lymph nodes,lymphoma/lymphoid
Primary malignant neoplasm of lacrimal gland,eye/ocular
Overlapping malignant neoplasm of body of uterus,uterine/endometrial
Refractory cytopenia with multilineage dysplasia,myelodysplastic syndromes
Diffuse non-Hodgkin's lymphoma,lymphoma/lymphoid
Reticulosarcoma of lymph nodes of axilla and upper limb,lymphoma/lymphoid
Burkitt's lymphoma of lymph nodes of inguinal region and lower limb,lymphoma/lymphoid
Anaplastic large T-cell systemic malignant lymphoma,lymphoma/lymphoid
Primary basal cell carcinoma of left eyelid,skin
Primary malignant neoplasm of lateral portion of floor of mouth,head and neck
Primary malignant neoplasm of junctional zone of tongue,head and neck
Malignant carcinoid tumor of stomach,neuroendocrine
Primary malignant neoplasm of pyriform sinus,head and neck
"Hodgkin's disease, nodular sclerosis of spleen",lymphoma/lymphoid
Primary malignant neoplasm of spleen,unknown
Overlapping malignant neoplasm of male breast,breast
"Hodgkin's disease, mixed cellularity of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Malignant carcinoid tumor of small intestine,neuroendocrine
Primary malignant neoplasm of both ovaries,ovarian
Merkel cell carcinoma of lower limb,skin
Malignant histiocytosis (clinical),histiocytosis
Hodgkin's disease of lymph nodes of axilla AND/OR upper limb,lymphoma/lymphoid
"Hodgkin's disease, nodular sclerosis of extranodal AND/OR solid organ site",lymphoma/lymphoid
Mycosis fungoides of inguinal lymph node,lymphoma/lymphoid
Nodular lymphoma of lymph nodes of inguinal region and lower limb,lymphoma/lymphoid
Sarcoma of liver,liver
Primary malignant neoplasm of sublingual gland,salivary gland
B-cell Hodgkin's lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of Meckel's diverticulum,small intestine
Overlapping malignant neoplasm of larynx,head and neck
Acute monocytic leukemia in remission,leukemia
Basal cell carcinoma of upper eyelid,skin
"Hodgkin's disease, lymphocytic depletion (clinical)",lymphoma/lymphoid
Malignant tumor of acoustic vestibular nerve,brain
Primary malignant neoplasm of posterior hypopharyngeal wall,head and neck
Malignant tumor of thymus,thymic malignancy
Sarcoma,soft tissue sarcoma
Primary basal cell carcinoma of right eyelid,skin
Atypical chronic myeloid leukemia,myelodysplastic syndromes
Mantle cell lymphoma of spleen,lymphoma/lymphoid
Enteropathy-associated T-cell lymphoma,lymphoma/lymphoid
Malignant neoplastic disease in mother complicating childbirth,unknown
Primary malignant neoplasm of short bone of upper limb,bone
Overlapping malignant neoplasm of biliary tract,hepatobiliary
"Erythroleukemia, FAB M6",leukemia
"Hodgkin's disease, lymphocytic-histiocytic predominance of extranodal AND/OR solid organ site",lymphoma/lymphoid
Lymphosarcoma of intrathoracic lymph nodes,lymphoma/lymphoid
Primary malignant neoplasm of vermilion border of upper lip,head and neck
Primary malignant neoplasm of anterior wall of nasopharynx,nasopharyngeal
Malignant neoplasm of peripheral nerves and autonomic nervous system,soft tissue sarcoma
Overlapping malignant neoplasm of female genital organs,unknown
Subacute myeloid leukemia in remission,leukemia
Primary cutaneous follicular center B-cell lymphoma,lymphoma/lymphoid
"Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes",lymphoma/lymphoid
Overlapping malignant neoplasm of hypopharynx,head and neck
Reticulosarcoma of lymph nodes of multiple sites,lymphoma/lymphoid
Primary malignant neoplasm of abdominal esophagus,esophagus
Primary malignant neoplasm of vallecula,head and neck
Mast cell malignancy,mast cell malignancy
Letterer-Siwe disease of extranodal AND/OR solid organ site,histiocytosis
Primary malignant neoplasm of greater curvature of stomach,stomach
Lymphosarcoma of lymph nodes of axilla and upper limb,lymphoma/lymphoid
"Malignant neoplasm of auditory tube, middle ear and mastoid air cells",head and neck
Overlapping malignant neoplasm of eye and adnexa (primary),eye/ocular
Neuroendocrine carcinoma of appendix,neuroendocrine
Malignant melanoma of skin of nose,skin
Primary malignant neoplasm of cornea of eye,eye/ocular
Primary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold,head and neck
Acute megakaryoblastic leukemia,leukemia
Letterer-Siwe disease of lymph nodes of inguinal region AND/OR lower limb,histiocytosis
Myeloid leukemia in relapse,leukemia
Primary malignant neoplasm of lateral wall of nasopharynx,nasopharyngeal
Malignant histiocytosis of lymph nodes of multiple sites,histiocytosis
Primary malignant neoplasm of spinal meninges,brain
"Leukemic reticuloendotheliosis of lymph nodes of head, face and neck",leukemia
Chronic monocytic leukemia,leukemia
"Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes",lymphoma/lymphoid
"Hodgkin's disease, mixed cellularity of extranodal AND/OR solid organ site",lymphoma/lymphoid
Mast cell leukemia (clinical),mast cell malignancy
Primary malignant neoplasm of upper respiratory tract,lung/respiratory tract/pleura
Primary malignant neoplasm of thoracic esophagus,esophagus
Subacute myeloid leukemia,leukemia
Mycosis fungoides of lymph nodes of multiple sites,lymphoma/lymphoid
"Overlapping malignant neoplasm of heart, mediastinum and pleura",lung/respiratory tract/pleura
"Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes",lymphoma/lymphoid
Malignant neoplasm of skin of nose (external),skin
Aggressive systemic mastocytosis,mast cell malignancy
Primary malignant neoplasm of superior wall of nasopharynx,nasopharyngeal
Overlapping malignant neoplasm of nasopharynx,nasopharyngeal
Primary malignant neoplasm of anterior aspect of epiglottis,head and neck
Primary malignant neoplasm of lip,head and neck
T-cell prolymphocytic leukemia,leukemia
"Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes",lymphoma/lymphoid
Malignant neoplasm of eye,eye/ocular
Malignant mast cell tumor of intra-abdominal lymph nodes,mast cell malignancy
Overlapping malignant neoplasm of retroperitoneum and peritoneum,peritoneal
Basal cell carcinoma of lower eyelid,skin
Primary malignant neoplasm of breast upper outer quadrant,breast
Primary malignant neoplasm of endocrine gland,unknown
Reticulosarcoma of intrapelvic lymph nodes,lymphoma/lymphoid
Mast cell malignancy of lymph nodes of multiple sites,mast cell malignancy
Primary malignant neoplasm of peripheral nerves of upper limb,soft tissue sarcoma
Hodgkin's paragranuloma of lymph nodes of inguinal region AND/OR lower limb,lymphoma/lymphoid
"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of inguinal region AND/OR lower limb",lymphoma/lymphoid
Malignant pericardial effusion,unknown
Hodgkin's sarcoma (clinical),lymphoma/lymphoid
Primary malignant neoplasm of glans penis,male genital
Malignant neoplasm of lower eyelid,skin
Overlapping malignant neoplasm of oropharynx,head and neck
Histiocytic sarcoma (clinical),histiocytosis
Primary malignant neoplasm of pituitary gland,pituitary
"Hodgkin's disease, lymphocytic depletion of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Primary malignant neoplasm of cauda equina,brain
Basal cell carcinoma of chest wall,skin
Primary malignant neoplasm of inner aspect of lip,head and neck
Malignant neoplasm of fundus of corpus uteri,uterine/endometrial
Diffuse follicle center lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of clitoris,vulvar
Primary malignant neoplasm of inner aspect of lower lip,head and neck
Malignant tumor of eyelid,skin
Malignant immunoproliferative disease (clinical),unknown
Primary malignant neuroendocrine neoplasm of duodenum,neuroendocrine
Primary malignant neoplasm of vermilion border of lower lip,skin
"Langerhans cell histiocytosis, disseminated (clinical)",histiocytosis
Malignant neoplasm of overlapping lesion of urinary organs,urinary tract/bladder
Hodgkin's granuloma of lymph nodes of multiple sites,lymphoma/lymphoid
"Hodgkin's disease, lymphocytic-histiocytic predominance of spleen",lymphoma/lymphoid
Primary malignant neoplasm of paraurethral glands,urinary tract/bladder
Primary malignant neoplasm of labia minora,vulvar
Malignant neoplasm of genitourinary organ,unknown
Burkitt's lymphoma of intrathoracic lymph nodes,lymphoma/lymphoid
Hodgkin's disease of intrapelvic lymph nodes,lymphoma/lymphoid
Lymphoid leukemia in relapse,leukemia
Squamous cell carcinoma,skin
Malignant melanoma of skin of breast,skin
"Hodgkin's disease, mixed cellularity of lymph nodes of axilla AND/OR upper limb",lymphoma/lymphoid
Megakaryocytic leukemia in remission,leukemia
Marginal zone lymphoma of spleen,lymphoma/lymphoid
Malignant neoplasm of liver and intrahepatic bile ducts,liver
Primary malignant neoplasm of commissure of lip,skin
Hereditary breast and ovarian cancer syndrome,unknown
Malignant carcinoid tumor of kidney,neuroendocrine
Primary malignant neoplasm of articular cartilage,bone
Malignant neoplasm of scalp and/or skin of neck,skin
Overlapping malignant neoplasm of skin,skin
Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL,leukemia
"Malignant neoplasm of peripheral nerves of head, face and neck",soft tissue sarcoma
Malignant mast cell tumor of lymph nodes of axilla AND/OR upper limb,mast cell malignancy
Malignant neoplasm of peripheral nerve of abdomen,soft tissue sarcoma
Malignant tumor of cecum,colon/rectal
"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses",head and neck
Mycosis fungoides of intrathoracic lymph nodes,lymphoma/lymphoid
Malignant neoplasm of peripheral nerve of pelvis,soft tissue sarcoma
Relapsing chronic myeloid leukemia,leukemia
"Hodgkin's disease, mixed cellularity of lymph nodes of inguinal region AND/OR lower limb",lymphoma/lymphoid
Reticulosarcoma of lymph nodes of inguinal region and lower limb,lymphoma/lymphoid
Myeloid sarcoma in remission,myeloid/lymphoid neoplasms
Primary malignant neoplasm of inner aspect of upper lip,skin
Immunoproliferative small intestinal disease (clinical),lymphoma/lymphoid
Malignant tumor of sigmoid colon,colon/rectal
Letterer-Siwe disease of lymph nodes of multiple sites,histiocytosis
Primary malignant neoplasm of craniopharyngeal duct,brain
Hodgkin's granuloma of intrathoracic lymph nodes,lymphoma/lymphoid
Leukemic reticuloendotheliosis of lymph nodes of multiple sites,leukemia
Burkitt's lymphoma of intrapelvic lymph nodes,lymphoma/lymphoid
Malignant mesothelioma of pericardium,mesothelioma
Primary malignant neoplasm of breast upper inner quadrant,breast
"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of multiple sites",lymphoma/lymphoid
Subacute lymphoid leukemia,leukemia
"Letterer-Siwe disease of lymph nodes of head, face AND/OR neck",histiocytosis
Primary malignant neoplasm of middle ear,head and neck
Acute myeloid leukemia with myelodysplasia-related changes,leukemia
Overlapping malignant melanoma of skin,skin
"Hodgkin's sarcoma of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
"Erythroleukemia, FAB M6 in remission",leukemia
Malignant mast cell tumor of intrathoracic lymph nodes,mast cell malignancy
Overlapping malignant neoplasm of vulva,vulvar
Malignant tumor of Meckel's diverticulum,small intestine
Malignant histiocytosis of intrathoracic lymph nodes,histiocytosis
Lymphosarcoma of spleen,lymphoma/lymphoid
B-cell prolymphocytic leukemia,leukemia
Primary malignant neoplasm of breast lower inner quadrant,breast
Letterer-Siwe disease of intrathoracic lymph nodes,histiocytosis
Smoldering myeloma,multiple myeloma
Choriocarcinoma,choriocarcinoma
Primary malignant neoplasm of peripheral nerves of trunk,soft tissue sarcoma
Primary malignant neoplasm of round ligament of uterus,uterine/endometrial
"Hodgkin's disease, lymphocytic depletion of lymph nodes of axilla AND/OR upper limb",lymphoma/lymphoid
Subacute lymphoid leukemia in remission,leukemia
Primary malignant neoplasm of branchial cleft,head and neck
Subacute leukemia,leukemia
Malignant melanoma,skin
Primary malignant neoplasm of breast lower outer quadrant,breast
Subcutaneous panniculitis-like T-cell lymphoma,lymphoma/lymphoid
"Sézary's disease of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Malignant histiocytosis of lymph nodes of axilla AND/OR upper limb,histiocytosis
Primary malignant neoplasm of intrathoracic organs,unknown
"Hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes",lymphoma/lymphoid
Overlapping malignant neoplasm of small intestine,small intestine
Primary malignant neoplasm of Waldeyer's ring,head and neck
Megakaryocytic leukemia,leukemia
Mast cell malignancy of spleen,mast cell malignancy
"Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes",lymphoma/lymphoid
Letterer-Siwe disease of intra-abdominal lymph nodes,histiocytosis
Overlapping malignant neoplasm of penis,male genital
Subacute leukemia in remission,leukemia
"Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites",lymphoma/lymphoid
